WG,Role,Description
Procedures,Applications,Application Coordinator
Places,FireWarden,Fire Warden
Places,FlatCleanliness,Flat Cleanliness & Pest Control
Procedures,FlatShufflers,Flat Shuffler
Places,Inventory,Inventory Checker
Places,MaintenanceEducator,Maintenance Educator
Places,MaintenanceResponder,Maintenance Responder
Procedures,OnlineMod,Online Admin and Moderator
Places,PlacesCC,Places WG Co-convener
Principle6,SfcDelegate,SfC Delegate
Principle6,SfcMedia,SfC Media Guru
Procedures,SocialMedia,Social Media Poster
Welfare,Welfare,Welfare Coordinator
Participation,WSP,WSP Work Coordinator
